"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.21382606525342,0.534,0.145,0,"0","ETS1"
"2",0,3.02443724882299,0.549,0.171,0,"0","FYN"
"3",0,3.00836554494315,0.373,0.085,0,"0","FYB1"
"4",0,3.62176479517037,0.322,0.066,0,"0","BCL11B"
"5",0,2.75825278731096,0.395,0.14,0,"0","CNOT6L"
"6",0,4.1248689914041,0.994,0.121,0,"1","HLA-A"
"7",0,3.89467045956855,0.99,0.12,0,"1","HLA-C"
"8",0,3.96761128411025,0.432,0.043,0,"1","HLA-F"
"9",0,4.78356488279216,0.376,0.027,0,"1","RP11-138A9.1"
"10",0,5.00462545766176,0.295,0.017,0,"1","RP11-138A9.2"
"11",0,2.39385117306191,0.574,0.164,0,"2","CD3E"
"12",0,2.8578411184703,0.413,0.075,0,"2","X44446"
"13",0,2.67172335104149,0.376,0.098,0,"2","GIMAP7"
"14",0,2.54096208881464,0.369,0.096,0,"2","CTSW"
"15",0,2.54540044204662,0.318,0.096,0,"2","GZMK"
"16",0,4.90793684577473,0.871,0.097,0,"3","GPNMB"
"17",0,4.98945812899163,0.649,0.045,0,"3","SLCO2B1"
"18",0,4.93947646605936,0.501,0.056,0,"3","PLTP"
"19",0,5.31106195654663,0.428,0.019,0,"3","AC016876.2"
"20",0,5.15666794873942,0.292,0.02,0,"3","SELENOP"
"21",0,3.79175415660184,0.486,0.042,0,"4","MS4A1"
"22",0,4.0672959376351,0.484,0.067,0,"4","LY9"
"23",0,3.91908883769184,0.297,0.033,0,"4","BANK1"
"24",0,4.16896363711745,0.277,0.027,0,"4","TNFRSF13C"
"25",0,3.1870019594793,0.264,0.055,0,"4","C1orf132"
"26",0,3.86250684332381,0.472,0.077,0,"5","EREG"
"27",0,4.25923290948694,0.413,0.042,0,"5","FCN1"
"28",0,3.84318619939236,0.335,0.04,0,"5","ANPEP"
"29",0,4.09928091650625,0.274,0.026,0,"5","CLEC5A"
"30",0,3.95478005709667,0.253,0.026,0,"5","CLEC10A"
"31",0,5.46186727982643,0.995,0.127,0,"6","HLA-DRA"
"32",0,5.22339156500593,0.959,0.103,0,"6","HLA-DPA1"
"33",0,5.85990698375531,0.587,0.033,0,"6","HLA-DRB5"
"34",0,8.63117106519205,0.494,0.003,0,"6","RP11-1143G9.4"
"35",0,6.0306685510554,0.386,0.013,0,"6","HLA-DQA2"
"36",0,4.02103719144911,0.914,0.132,0,"7","AIF1"
"37",0,5.05435471238477,0.449,0.028,0,"7","FAM26F"
"38",0,5.07280895304146,0.42,0.019,0,"7","LINC01272"
"39",0,7.84752978614784,0.298,0.002,0,"7","RP11.1143G9.4"
"40",0,4.08745043187046,0.295,0.007,0,"7","X44256.1"
"41",0,6.94917656495059,0.434,0.005,0,"8","NKX2.1"
"42",0,6.06285646572761,0.319,0.009,0,"8","SUSD2"
"43",0,7.95669835928848,0.291,0.003,0,"8","LINC02469"
"44",0,6.47607926191542,0.263,0.008,0,"8","LTF"
"45",0,6.28550166134646,0.261,0.007,0,"8","MUC5B"
"46",0,4.45800810069713,0.934,0.105,0,"9","GZMB"
"47",0,4.46555291521167,0.816,0.047,0,"9","CXCL13"
"48",0,4.96345133134809,0.769,0.049,0,"9","LAG3"
"49",0,4.70316794525018,0.691,0.069,0,"9","GNLY"
"50",0,4.66154900579073,0.251,0.008,0,"9","RP11.291B21.2"
"51",0,8.45208631496087,0.863,0.023,0,"10","DCN"
"52",0,8.81065250986241,0.776,0.015,0,"10","COL3A1"
"53",0,8.77072636044176,0.765,0.019,0,"10","LUM"
"54",0,9.11641604514227,0.598,0.004,0,"10","MFAP4"
"55",0,8.7442271070876,0.352,0.005,0,"10","SFRP2"
"56",0,6.00425981587936,0.943,0.101,0,"11","G0S2"
"57",0,6.46564135003273,0.9,0.148,0,"11","CXCL8"
"58",0,6.83607282082761,0.382,0.016,0,"11","CXCR2"
"59",0,6.88395281198203,0.375,0.013,0,"11","AC245128.3"
"60",0,6.12987450646695,0.262,0.018,0,"11","HCAR3"
"61",0,6.91782901550852,0.546,0.035,0,"12","IGHG2"
"62",0,9.57539522434132,0.386,0.008,0,"12","IGLC1"
"63",0,7.73370385771673,0.374,0.012,0,"12","IGLL5"
"64",0,9.08002568790477,0.363,0.003,0,"12","IGLL1"
"65",0,8.26782030534442,0.356,0.005,0,"12","GUSBP11"
"66",0,4.4703287453017,0.693,0.029,0,"13","VPREB3"
"67",0,9.04622023186387,0.281,0.001,0,"13","RP5-887A10.1"
"68",0,7.59361331049741,0.28,0.003,0,"13","RP11-231C14.7"
"69",0,5.50722740096235,0.274,0.009,0,"13","AL928768.3"
"70",0,4.21824958013221,0.282,0.018,0,"13","RP1-313I6.12"
"71",0,6.30716771889616,0.424,0.049,0,"14","SCGB3A2"
"72",0,5.51852231204538,0.382,0.01,0,"14","SFTA1P"
"73",0,6.632329990063,0.431,0.12,0,"14","SFTPC"
"74",0,7.11883453359214,0.279,0.002,0,"14","NKX2-1"
"75",0,6.29655427939027,0.254,0.005,0,"14","PEBP4"
"76",0,5.8087795547697,0.809,0.121,0,"15","IGHG3"
"77",0,6.3726081134935,0.769,0.11,0,"15","IGHG1"
"78",0,5.97106120085511,0.832,0.201,0,"15","IGHA1"
"79",0,5.63191392969803,0.803,0.202,0,"15","IGLC2"
"80",0,6.06832109519746,0.44,0.007,0,"15","IGHGP"
"81",0,4.13216938732398,0.709,0.065,0,"16","MS4A1"
"82",0,4.71541318238176,0.577,0.051,0,"16","CD79B"
"83",0,6.12710792514614,0.346,0.011,0,"16","X44256.1"
"84",0,9.08969215696037,0.271,0.001,0,"16","RP5.887A10.1"
"85",0,4.33468846685662,0.293,0.023,0,"16","FCRLA"
"86",0,9.55502552366334,0.677,0.004,0,"17","CLDN5"
"87",0,9.89646757435227,0.664,0.002,0,"17","CLEC14A"
"88",0,9.40448728754276,0.653,0.004,0,"17","RAMP2"
"89",0,9.60446916397398,0.341,0.003,0,"17","ACKR1"
"90",0,9.42093181250656,0.336,0.003,0,"17","FCN3"
"91",0,8.03211886088881,0.73,0.016,0,"18","FGB"
"92",0,6.95930369521436,0.644,0.017,0,"18","FGG"
"93",0,8.09744004482118,0.597,0.011,0,"18","FGA"
"94",0,7.51813753350458,0.325,0.003,0,"18","KLK5"
"95",0,6.81101306994502,0.315,0.006,0,"18","RP11.841O20.2"
"96",0,8.73332850988056,0.721,0.011,0,"19","FABP7"
"97",0,5.97856457609333,0.547,0.017,0,"19","AZGP1"
"98",0,7.2347059091319,0.403,0.004,0,"19","TUBB2B"
"99",0,6.23794356448485,0.35,0.031,0,"19","RARRES1"
"100",0,6.10631632823585,0.319,0.007,0,"19","RP11.295G20.2"
"101",0,8.84084208149132,0.783,0.008,0,"20","KRT5"
"102",0,8.05552321463734,0.638,0.008,0,"20","ALDH3A1"
"103",0,8.35511717297015,0.632,0.006,0,"20","PKP1"
"104",0,8.8075904831277,0.273,0.001,0,"20","AL353997.6"
"105",0,8.30982951374023,0.261,0.003,0,"20","KRT13"
"106",0,7.85771913443169,0.999,0.022,0,"21","TPSAB1"
"107",0,8.15780211827908,0.976,0.034,0,"21","TPSB2"
"108",0,7.04630828892738,0.908,0.021,0,"21","HPGDS"
"109",0,11.2254895905855,0.545,0.001,0,"21","RP11-354E11.2"
"110",0,7.89414819277008,0.338,0.005,0,"21","CTSG"
"111",0,8.36241378752794,0.439,0.002,0,"22","ATP5PD"
"112",0,8.42426250505758,0.429,0.002,0,"22","ATP5ME"
"113",0,8.57296113114169,0.409,0.002,0,"22","ATP5MC3"
"114",0,8.99224117700389,0.296,0.001,0,"22","LRRC75A-AS1"
"115",0,8.49055515192577,0.267,0.001,0,"22","ATP5MC1"
"116",0,7.88357973558879,0.989,0.018,0,"23","CPA3"
"117",0,8.11543194759386,0.896,0.015,0,"23","KIT"
"118",0,6.93527969194256,0.831,0.018,0,"23","GATA2"
"119",0,7.32927032418736,0.794,0.012,0,"23","SLC18A2"
"120",0,8.19461426266821,0.279,0.001,0,"23","AL157895.1"
"121",0,11.5662814698167,0.935,0.006,0,"24","DPCR1"
"122",0,11.2147230858868,0.88,0.005,0,"24","MUC5AC"
"123",0,10.1001473142246,0.643,0.004,0,"24","REG4"
"124",0,10.1764925252249,0.427,0.001,0,"24","PHGR1"
"125",0,11.0224793648925,0.31,0.001,0,"24","SPINK4"
"126",0,12.5313128416806,0.546,0.001,0,"25","CCL3L1"
"127",0,9.50743032245222,0.431,0.001,0,"25","FTLP3"
"128",0,9.52540306173308,0.427,0.002,0,"25","FTH1P10"
"129",0,9.89143415705959,0.402,0.001,0,"25","HLA-DRB6"
"130",0,11.5494977936393,0.285,0,0,"25","NCF1C"
"131",0,7.72250548035911,0.849,0.099,0,"26","IGHG4"
"132",0,6.46775067676804,0.865,0.131,0,"26","IGHG3"
"133",0,8.05913814317126,0.436,0.013,0,"26","IGHGP"
"134",0,9.9486794278779,0.387,0.002,0,"26","IGLV3-1"
"135",0,8.96207741760514,0.278,0.003,0,"26","ENAM"
"136",0,5.60143043231452,0.642,0.019,0,"27","MKI67"
"137",0,5.51609115893013,0.522,0.019,0,"27","RRM2"
"138",0,5.56926124050469,0.494,0.014,0,"27","PCLAF"
"139",0,5.49006434133499,0.428,0.013,0,"27","ASPM"
"140",0,5.43057604295926,0.275,0.009,0,"27","CDCA8"
"141",0,5.59244248398464,0.825,0.02,0,"28","KIAA0101"
"142",0,5.502889978606,0.799,0.022,0,"28","TYMS"
"143",0,5.26231260069743,0.317,0.005,0,"28","SGOL1"
"144",0,5.39055195354131,0.28,0.004,0,"28","CASC5"
"145",0,5.01277405058432,0.276,0.006,0,"28","RP11-545E17.3"
"146",0,10.7962061994418,0.936,0.002,0,"29","C20orf85"
"147",0,10.6866561989548,0.735,0.001,0,"29","CAPSL"
"148",0,10.9357462526436,0.731,0.002,0,"29","TMEM190"
"149",0,10.8710528901731,0.373,0,0,"29","RP11.356K23.1"
"150",0,11.2120397966952,0.317,0,0,"29","RP11.295M3.4"
"151",2.40818549940173e-214,4.09392530542997,0.388,0.012,1.35539904462828e-209,"30","IGLL1"
"152",3.84904489820758e-198,4.1617238811942,0.4,0.014,2.16635794005817e-193,"30","GUSBP11"
"153",6.19935413443597e-116,4.82137584232771,0.341,0.017,3.4891824874846e-111,"30","IGLC1"
"154",2.34353222611781e-93,4.91114951073238,0.341,0.021,1.31901024282589e-88,"30","IGLL5"
"155",1.24689948374569e-71,4.4206579896568,0.471,0.052,7.01792436436586e-67,"30","IGHA2"
"156",0,6.5830595640302,0.816,0.01,0,"31","TCL1A"
"157",0,6.57612668515528,0.531,0.003,0,"31","ACY3"
"158",0,7.48618476825448,0.449,0.003,0,"31","HIST1H1B"
"159",0,8.26824330207101,0.367,0.001,0,"31","HIST1H3B"
"160",6.5675949292629e-285,6.78771272691213,0.306,0.003,3.69643945403704e-280,"31","RP11-16E12.2"
